,Skipover,Win For Laila,Asgata,Miss Conveyor,Crimson Lille,Elegant Taste,Jo Amy,Mischief Melody,Santafe Express,Awesome Tap
12-01-2023 10:32:31.295889,"(19.0, 26.0, 19.8)","(8.5, 18.0, 13.428571428571429)","(15.0, 190.0, 160.83333333333334)","(5.0, 15.5, 11.0)","(20.0, 230.0, 199.85714285714286)","(4.0, 3.95, 3.0492857142857144)","(7.0, 23.0, 16.5)","(3.2, 7.8, 6.925)","(10.0, 16.5, 11.558823529411764)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:32.720092,"(19.0, 26.0, 19.8)","(8.5, 18.0, 13.428571428571429)","(15.0, 190.0, 160.83333333333334)","(5.0, 15.5, 12.25)","(20.0, 230.0, 208.95000000000002)","(4.0, 3.95, 3.0492857142857144)","(7.0, 23.0, 16.5)","(3.2, 7.8, 11.32)","(10.0, 16.5, 11.558823529411764)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:34.100549,"(19.0, 26.0, 19.8)","(8.5, 18.0, 13.428571428571429)","(15.0, 190.0, 160.83333333333334)","(5.0, 16.5, 12.25)","(20.0, 230.0, 187.7)","(4.0, 3.95, 3.0492857142857144)","(7.0, 23.0, 16.5)","(3.2, 16.0, 12.7)","(10.0, 16.5, 11.558823529411764)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:35.364878,"(19.0, 26.0, 19.8)","(8.5, 18.0, 13.428571428571429)","(15.0, 190.0, 160.83333333333334)","(5.0, 16.5, 12.25)","(20.0, 230.0, 187.7)","(4.0, 3.95, 3.415)","(7.0, 23.0, 16.5)","(3.2, 15.5, 12.7)","(10.0, 16.5, 12.666666666666666)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:36.560607,"(19.0, 26.0, 19.8)","(8.5, 18.0, 13.428571428571429)","(15.0, 190.0, 160.83333333333334)","(5.0, 16.5, 12.25)","(20.0, 230.0, 187.7)","(4.0, 3.85, 3.415)","(7.0, 23.0, 16.5)","(3.2, 15.5, 4.2)","(10.0, 16.0, 12.666666666666666)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:37.789346,"(19.0, 26.0, 19.8)","(8.5, 18.0, 13.428571428571429)","(15.0, 190.0, 160.83333333333334)","(5.0, 16.5, 12.25)","(20.0, 230.0, 187.7)","(4.0, 3.85, 3.415)","(7.0, 23.0, 16.5)","(3.2, 4.3, 4.2)","(10.0, 16.0, 12.666666666666666)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:39.023732,"(19.0, 26.0, 19.8)","(8.5, 18.0, 13.428571428571429)","(15.0, 190.0, 160.83333333333334)","(5.0, 16.0, 15.219999999999999)","(20.0, 230.0, 187.7)","(4.0, 3.85, 3.415)","(7.0, 23.0, 16.5)","(3.2, 4.3, 4.2)","(10.0, 16.0, 12.666666666666666)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:40.341855,"(19.0, 26.0, 19.8)","(8.5, 18.0, 13.428571428571429)","(15.0, 190.0, 160.83333333333334)","(5.0, 16.0, 15.24)","(20.0, 230.0, 187.7)","(4.0, 3.85, 3.415)","(7.0, 23.0, 16.5)","(3.2, 4.3, 3.566666666666667)","(10.0, 16.0, 12.666666666666666)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:41.718103,"(19.0, 26.0, 19.8)","(8.5, 18.0, 13.428571428571429)","(15.0, 190.0, 160.83333333333334)","(5.0, 16.5, 15.69)","(20.0, 230.0, 187.7)","(4.0, 3.85, 3.415)","(7.0, 23.0, 16.5)","(3.2, 4.3, 4.16)","(10.0, 16.0, 12.666666666666666)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:43.066854,"(19.0, 26.0, 19.8)","(8.5, 18.0, 13.428571428571429)","(15.0, 190.0, 160.83333333333334)","(5.0, 16.5, 15.69)","(20.0, 230.0, 187.7)","(4.0, 3.85, 3.415)","(7.0, 23.0, 16.5)","(3.2, 4.3, 4.16)","(10.0, 16.0, 12.666666666666666)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:44.562000,"(19.0, 26.0, 19.8)","(8.5, 18.0, 13.428571428571429)","(15.0, 190.0, 160.83333333333334)","(5.0, 16.5, 15.69)","(20.0, 230.0, 187.7)","(4.0, 3.85, 3.415)","(7.0, 23.0, 16.5)","(3.2, 4.3, 4.075)","(10.0, 16.0, 12.666666666666666)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:45.910295,"(19.0, 26.0, 19.8)","(8.5, 18.0, 13.428571428571429)","(15.0, 190.0, 160.83333333333334)","(5.0, 16.5, 15.69)","(20.0, 230.0, 203.625)","(4.0, 3.85, 3.415)","(7.0, 23.0, 16.5)","(3.2, 4.2, 4.075)","(10.0, 16.0, 19.6)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:47.235401,"(19.0, 26.0, 19.8)","(8.5, 18.0, 13.428571428571429)","(15.0, 190.0, 146.375)","(5.0, 16.5, 15.69)","(20.0, 230.0, 203.625)","(4.0, 3.85, 3.415)","(7.0, 23.0, 16.5)","(3.2, 4.2, 4.075)","(10.0, 25.0, 19.6)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:48.511933,"(19.0, 26.0, 19.8)","(8.5, 18.0, 13.428571428571429)","(15.0, 190.0, 146.375)","(5.0, 16.5, 15.69)","(20.0, 230.0, 203.625)","(4.0, 3.85, 3.415)","(7.0, 23.0, 16.5)","(3.2, 4.2, 4.075)","(10.0, 25.0, 19.6)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:49.853026,"(19.0, 18.0, 12.75)","(8.5, 18.5, 13.642857142857142)","(15.0, 190.0, 146.375)","(5.0, 16.5, 15.2625)","(20.0, 230.0, 203.625)","(4.0, 3.85, 3.415)","(7.0, 23.0, 15.25)","(3.2, 4.2, 4.075)","(10.0, 25.0, 21.625)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:51.280819,"(19.0, 18.0, 12.75)","(8.5, 18.5, 13.642857142857142)","(15.0, 200.0, 153.875)","(5.0, 16.5, 15.142857142857142)","(20.0, 230.0, 203.625)","(4.0, 3.85, 3.415)","(7.0, 24.0, 15.25)","(3.2, 4.2, 4.075)","(10.0, 25.0, 21.625)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:52.727418,"(19.0, 18.0, 12.75)","(8.5, 18.5, 13.642857142857142)","(15.0, 200.0, 153.875)","(5.0, 16.5, 14.175)","(20.0, 230.0, 203.625)","(4.0, 3.85, 3.415)","(7.0, 24.0, 15.25)","(3.2, 4.2, 4.075)","(10.0, 25.0, 21.625)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:53.968903,"(19.0, 18.0, 12.75)","(8.5, 18.5, 13.642857142857142)","(15.0, 200.0, 153.875)","(5.0, 16.5, 14.175)","(20.0, 230.0, 203.625)","(4.0, 3.85, 3.415)","(7.0, 24.0, 15.25)","(3.2, 4.2, 4.144444444444444)","(10.0, 25.0, 21.625)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:55.149188,"(19.0, 18.0, 12.75)","(8.5, 18.5, 13.642857142857142)","(15.0, 200.0, 153.875)","(5.0, 16.5, 14.175)","(20.0, 230.0, 203.625)","(4.0, 3.85, 3.415)","(7.0, 24.0, 15.25)","(3.2, 4.3, 4.144444444444444)","(10.0, 25.0, 21.625)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:56.367988,"(19.0, 18.0, 12.75)","(8.5, 18.5, 13.642857142857142)","(15.0, 200.0, 153.875)","(5.0, 16.5, 14.175)","(20.0, 230.0, 203.625)","(4.0, 3.85, 3.415)","(7.0, 24.0, 15.25)","(3.2, 4.3, 4.04)","(10.0, 25.0, 21.625)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:57.599599,"(19.0, 18.0, 12.75)","(8.5, 18.5, 13.642857142857142)","(15.0, 200.0, 153.875)","(5.0, 16.5, 14.175)","(20.0, 230.0, 203.625)","(4.0, 3.85, 3.415)","(7.0, 24.0, 15.25)","(3.2, 4.3, 4.08)","(10.0, 25.0, 21.625)","(31.0, 230.0, 178.5)"
12-01-2023 10:32:58.937367,"(19.0, 18.0, 12.75)","(8.5, 18.5, 13.642857142857142)","(15.0, 200.0, 153.875)","(5.0, 16.5, 15.114285714285714)","(20.0, 230.0, 203.625)","(4.0, 3.85, 3.415)","(7.0, 24.0, 15.25)","(3.2, 4.3, 4.08)","(10.0, 25.0, 19.0)","(31.0, 230.0, 178.5)"
12-01-2023 10:33:00.221699,"(19.0, 18.0, 12.75)","(8.5, 18.5, 13.642857142857142)","(15.0, 200.0, 161.375)","(5.0, 16.5, 15.114285714285714)","(20.0, 230.0, 203.625)","(4.0, 3.85, 3.415)","(7.0, 24.0, 18.4)","(3.2, 4.3, 4.08)","(10.0, 24.0, 20.875)","(31.0, 230.0, 178.5)"
12-01-2023 10:33:01.694268,"(19.0, 18.0, 12.75)","(8.5, 18.5, 13.642857142857142)","(15.0, 210.0, 161.375)","(5.0, 16.5, 14.125)","(20.0, 230.0, 203.625)","(4.0, 3.85, 3.415)","(7.0, 24.0, 18.4)","(3.2, 4.3, 4.08)","(10.0, 24.0, 20.875)","(31.0, 230.0, 178.5)"
