,Vanburg,Oakfield Triumph,Sneaky Paige,Compassionate,Hell I Am,Shalailed,Resonator,Arch Of Titus
14-12-2022 14:26:27.493935,"(91.0, 310.0, 243.33333333333334)","(91.0, 340.0, 273.3333333333333)","(3.3, 4.1, 3.9615384615384617)","(26.0, 42.0, 40.45454545454545)","(2.5, 2.82, 2.894054054054054)","(3.8, 4.6, 4.478947368421053)","(6.5, 7.4, 7.2681818181818185)","(91.0, 240.0, 235.55555555555554)"
14-12-2022 14:26:28.912602,"(91.0, 310.0, 243.33333333333334)","(91.0, 310.0, 255.0)","(3.3, 4.0, 3.951089588377724)","(26.0, 42.0, 40.3)","(2.5, 2.9, 2.8909090909090907)","(3.8, 4.5, 4.478947368421053)","(6.5, 7.6, 7.2681818181818185)","(91.0, 260.0, 235.55555555555554)"
14-12-2022 14:26:30.309506,"(91.0, 310.0, 243.33333333333334)","(91.0, 300.0, 250.0)","(3.3, 4.0, 3.95)","(26.0, 42.0, 42.05555555555556)","(2.5, 2.9, 2.9036363636363633)","(3.8, 4.5, 4.478947368421053)","(6.5, 7.6, 7.2681818181818185)","(91.0, 260.0, 235.55555555555554)"
14-12-2022 14:26:31.707860,"(91.0, 310.0, 243.33333333333334)","(91.0, 300.0, 245.0)","(3.3, 3.95, 3.9260942760942763)","(26.0, 44.0, 42.05555555555556)","(2.5, 2.92, 2.9062745098039215)","(3.8, 4.5, 4.42)","(6.5, 7.6, 7.2681818181818185)","(91.0, 260.0, 235.55555555555554)"
14-12-2022 14:26:33.111881,"(91.0, 310.0, 243.33333333333334)","(91.0, 290.0, 248.57142857142856)","(3.3, 3.95, 3.926254180602007)","(26.0, 44.0, 42.57142857142857)","(2.5, 2.98, 2.9062745098039215)","(3.8, 4.5, 4.341463414634147)","(6.5, 7.6, 7.302040816326531)","(91.0, 260.0, 235.55555555555554)"
14-12-2022 14:26:34.517771,"(91.0, 310.0, 243.33333333333334)","(91.0, 280.0, 248.57142857142856)","(3.3, 3.95, 3.9255172413793105)","(26.0, 44.0, 42.25)","(2.5, 2.98, 2.9266666666666667)","(3.8, 4.4, 4.413793103448276)","(6.5, 7.6, 7.2496)","(91.0, 260.0, 247.77777777777777)"
14-12-2022 14:26:35.998386,"(91.0, 380.0, 266.6666666666667)","(91.0, 280.0, 246.66666666666669)","(3.3, 3.95, 3.9255172413793105)","(26.0, 44.0, 42.92307692307692)","(2.5, 2.98, 2.965777777777778)","(3.8, 4.6, 4.410526315789474)","(6.5, 7.6, 7.26046511627907)","(91.0, 260.0, 185.0)"
14-12-2022 14:26:37.395984,"(91.0, 360.0, 285.0)","(91.0, 280.0, 246.66666666666669)","(3.3, 3.95, 3.9247440273037544)","(26.0, 44.0, 42.6)","(2.5, 2.98, 3.038278388278388)","(3.8, 4.6, 4.403846153846154)","(6.5, 7.6, 7.392307692307693)","(91.0, 260.0, 185.0)"
14-12-2022 14:26:38.786509,"(91.0, 350.0, 256.6666666666667)","(91.0, 280.0, 255.0)","(3.3, 3.95, 3.9064705882352944)","(31.0, 44.0, 42.6)","(2.6, 3.05, 3.0396584440227703)","(3.9, 4.5, 4.4031746031746035)","(6.5, 7.4, 7.390476190476191)","(91.0, 260.0, 185.0)"
14-12-2022 14:26:40.116719,"(101.0, 340.0, 275.0)","(91.0, 280.0, 267.5)","(3.4, 3.95, 3.876923076923077)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.0396193771626296)","(3.9, 4.5, 4.5024390243902435)","(6.5, 7.4, 7.365178571428571)","(91.0, 260.0, 235.71428571428572)"
14-12-2022 14:26:41.530545,"(101.0, 350.0, 275.0)","(91.0, 270.0, 263.33333333333337)","(3.4, 3.9, 3.872413793103448)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.0396193771626296)","(3.9, 4.6, 4.441721854304636)","(6.5, 7.4, 7.364383561643836)","(91.0, 250.0, 233.33333333333334)"
14-12-2022 14:26:42.875095,"(91.0, 350.0, 275.0)","(101.0, 280.0, 263.33333333333337)","(3.4, 3.9, 3.8166666666666664)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.0396193771626296)","(3.8, 4.7, 4.458783783783784)","(6.5, 7.6, 7.356756756756757)","(101.0, 250.0, 214.28571428571428)"
14-12-2022 14:26:44.249334,"(91.0, 350.0, 260.0)","(101.0, 280.0, 263.33333333333337)","(3.4, 3.85, 3.8166666666666664)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.038984088127295)","(3.8, 4.7, 4.586192468619246)","(6.5, 7.6, 7.0525)","(101.0, 240.0, 214.28571428571428)"
14-12-2022 14:26:45.646067,"(91.0, 350.0, 260.0)","(101.0, 280.0, 263.33333333333337)","(3.4, 3.85, 3.8062043795620437)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.038984088127295)","(3.8, 4.6, 4.586192468619246)","(6.5, 7.6, 7.0525)","(101.0, 240.0, 204.0)"
14-12-2022 14:26:46.996296,"(91.0, 350.0, 260.0)","(101.0, 280.0, 265.7142857142857)","(3.4, 3.85, 3.82)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.0389162561576355)","(3.8, 4.6, 4.586192468619246)","(6.5, 7.6, 7.0525)","(101.0, 240.0, 210.0)"
14-12-2022 14:26:48.306219,"(91.0, 350.0, 260.0)","(101.0, 280.0, 265.7142857142857)","(3.4, 3.85, 3.854421768707483)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.0386746987951807)","(3.8, 4.6, 4.586192468619246)","(6.5, 7.6, 7.0525)","(101.0, 220.0, 196.66666666666666)"
14-12-2022 14:26:49.667644,"(91.0, 350.0, 260.0)","(101.0, 280.0, 265.7142857142857)","(3.4, 3.9, 3.8534246575342466)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.0387961859356376)","(3.8, 4.6, 4.484030418250951)","(6.5, 7.6, 7.3566666666666665)","(101.0, 220.0, 192.0)"
14-12-2022 14:26:51.252418,"(91.0, 380.0, 245.0)","(101.0, 280.0, 265.7142857142857)","(3.4, 3.9, 3.8534246575342466)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.0387961859356376)","(3.8, 4.5, 4.484030418250951)","(6.5, 7.6, 7.344615384615385)","(101.0, 220.0, 192.0)"
14-12-2022 14:26:52.680593,"(91.0, 360.0, 264.0)","(101.0, 320.0, 201.8181818181818)","(3.4, 3.9, 3.8534246575342466)","(31.0, 48.0, 44.888888888888886)","(2.6, 3.05, 3.039057043073341)","(3.8, 4.5, 4.417142857142857)","(6.5, 7.6, 7.351612903225806)","(101.0, 220.0, 192.0)"
14-12-2022 14:26:54.102158,"(91.0, 350.0, 275.0)","(101.0, 310.0, 248.75)","(3.4, 3.85, 3.8238532110091743)","(31.0, 48.0, 44.888888888888886)","(2.6, 3.05, 3.0389150943396226)","(3.8, 4.5, 4.421782178217821)","(6.5, 7.6, 7.373643410852713)","(101.0, 220.0, 192.0)"
14-12-2022 14:26:55.515905,"(91.0, 350.0, 275.0)","(101.0, 290.0, 248.75)","(3.4, 3.85, 3.8238532110091743)","(31.0, 48.0, 44.888888888888886)","(2.6, 3.05, 3.0389150943396226)","(3.8, 4.5, 4.421782178217821)","(6.5, 7.6, 7.373643410852713)","(101.0, 220.0, 192.0)"
14-12-2022 14:26:56.870271,"(91.0, 330.0, 286.6666666666667)","(101.0, 280.0, 251.42857142857144)","(3.4, 3.8, 3.717993079584775)","(31.0, 48.0, 43.8)","(2.6, 3.05, 3.0389150943396226)","(3.8, 4.5, 4.382962962962963)","(6.5, 7.6, 7.373643410852713)","(101.0, 220.0, 192.0)"
14-12-2022 14:26:58.264637,"(91.0, 330.0, 286.6666666666667)","(101.0, 270.0, 244.28571428571428)","(3.4, 3.8, 3.717993079584775)","(31.0, 48.0, 43.8)","(2.6, 3.05, 3.0428015564202333)","(3.8, 4.5, 4.449032258064516)","(6.5, 7.6, 7.373643410852713)","(101.0, 220.0, 192.0)"
14-12-2022 14:26:59.557340,"(91.0, 320.0, 280.0)","(101.0, 270.0, 244.28571428571428)","(3.4, 3.8, 3.717993079584775)","(31.0, 48.0, 45.333333333333336)","(2.6, 3.05, 3.0419681620839363)","(3.8, 4.5, 4.4531157270029675)","(6.5, 7.6, 7.373643410852713)","(101.0, 220.0, 192.0)"
14-12-2022 14:27:00.986398,"(91.0, 310.0, 255.0)","(101.0, 270.0, 244.28571428571428)","(3.4, 3.8, 3.7279742765273314)","(31.0, 48.0, 45.09090909090909)","(2.6, 3.05, 3.0374149659863945)","(3.8, 4.5, 4.452976190476191)","(6.5, 7.6, 7.373643410852713)","(101.0, 220.0, 192.0)"
14-12-2022 14:27:02.390224,"(91.0, 310.0, 255.0)","(101.0, 270.0, 237.14285714285714)","(3.4, 3.8, 3.7279742765273314)","(31.0, 48.0, 45.62962962962963)","(2.6, 3.05, 3.0374149659863945)","(3.8, 4.5, 4.452976190476191)","(6.5, 7.6, 7.419607843137255)","(101.0, 220.0, 195.0)"
14-12-2022 14:27:03.868399,"(101.0, 300.0, 266.6666666666667)","(101.0, 260.0, 220.0)","(3.3, 3.8, 3.7278846153846157)","(31.0, 48.0, 45.62962962962963)","(2.6, 3.05, 3.0381720430107526)","(3.8, 4.5, 4.452976190476191)","(6.5, 7.6, 7.473972602739726)","(101.0, 210.0, 182.72727272727272)"
14-12-2022 14:27:05.498236,"(101.0, 290.0, 193.33333333333334)","(101.0, 260.0, 230.0)","(3.3, 3.8, 3.731294964028777)","(31.0, 48.0, 47.01754385964912)","(2.6, 3.05, 3.0381720430107526)","(3.8, 4.5, 4.445328719723183)","(6.5, 7.6, 7.473972602739726)","(101.0, 210.0, 187.5)"
14-12-2022 14:27:06.851586,"(101.0, 280.0, 193.33333333333334)","(101.0, 250.0, 230.0)","(3.3, 3.8, 3.731294964028777)","(31.0, 48.0, 47.01754385964912)","(2.6, 3.05, 3.037732342007435)","(3.8, 4.5, 4.416402116402117)","(6.5, 7.6, 7.475757575757576)","(101.0, 200.0, 187.5)"
14-12-2022 14:27:08.380634,"(101.0, 270.0, 186.66666666666666)","(101.0, 240.0, 237.14285714285714)","(3.3, 3.8, 3.734939759036145)","(31.0, 48.0, 47.01754385964912)","(2.6, 3.05, 3.036852589641434)","(3.8, 4.5, 4.414130434782609)","(6.5, 7.6, 7.475757575757576)","(101.0, 200.0, 187.5)"
14-12-2022 14:27:09.766243,"(101.0, 260.0, 186.66666666666666)","(101.0, 260.0, 228.0)","(3.3, 3.8, 3.7348)","(31.0, 48.0, 44.705882352941174)","(2.6, 3.05, 2.973913043478261)","(3.8, 4.5, 4.411731843575419)","(6.5, 7.6, 7.7555555555555555)","(101.0, 200.0, 187.5)"
14-12-2022 14:27:11.106874,"(101.0, 260.0, 186.66666666666666)","(101.0, 260.0, 240.0)","(3.3, 3.8, 3.7348)","(31.0, 48.0, 44.705882352941174)","(2.6, 3.0, 2.98)","(3.8, 4.5, 4.40246913580247)","(6.5, 7.8, 7.7555555555555555)","(101.0, 200.0, 187.5)"
14-12-2022 14:27:12.379210,"(101.0, 260.0, 186.66666666666666)","(101.0, 250.0, 240.0)","(3.3, 3.8, 3.7348)","(31.0, 48.0, 44.705882352941174)","(2.6, 3.0, 2.98)","(3.8, 4.5, 4.40246913580247)","(6.5, 7.8, 7.7555555555555555)","(101.0, 200.0, 187.5)"
14-12-2022 14:27:13.599060,"(101.0, 260.0, 186.66666666666666)","(101.0, 240.0, 231.42857142857144)","(3.3, 3.8, 3.726070038910506)","(31.0, 48.0, 44.705882352941174)","(2.6, 3.05, 2.9451063829787234)","(3.8, 4.5, 4.4021739130434785)","(6.5, 7.8, 7.554216867469879)","(101.0, 200.0, 187.5)"
14-12-2022 14:27:14.907471,"(101.0, 260.0, 210.0)","(101.0, 240.0, 231.42857142857144)","(3.3, 3.8, 3.731818181818182)","(31.0, 48.0, 45.2)","(2.6, 3.0, 2.944848484848485)","(3.8, 4.5, 4.385350318471337)","(6.5, 7.8, 7.451813471502591)","(101.0, 200.0, 180.0)"
14-12-2022 14:27:16.236150,"(101.0, 260.0, 230.0)","(101.0, 280.0, 223.33333333333334)","(3.3, 3.8, 3.731818181818182)","(31.0, 48.0, 45.2)","(2.6, 3.0, 2.957007874015748)","(3.8, 4.5, 4.385350318471337)","(6.5, 7.8, 7.4515463917525775)","(101.0, 200.0, 185.0)"
14-12-2022 14:27:17.576443,"(101.0, 300.0, 256.6666666666667)","(101.0, 270.0, 223.33333333333334)","(3.3, 3.8, 3.731818181818182)","(31.0, 48.0, 45.2)","(2.6, 3.0, 2.9487066246056783)","(3.8, 4.5, 4.385350318471337)","(6.5, 7.8, 7.4515463917525775)","(101.0, 200.0, 185.0)"
14-12-2022 14:27:18.866868,"(101.0, 300.0, 256.6666666666667)","(101.0, 270.0, 223.33333333333334)","(3.3, 3.8, 3.7315352697095436)","(31.0, 48.0, 45.2)","(2.6, 3.0, 2.9470358306188924)","(3.8, 4.5, 4.385350318471337)","(6.5, 7.8, 7.4515463917525775)","(101.0, 200.0, 185.0)"
14-12-2022 14:27:20.160349,"(101.0, 300.0, 256.6666666666667)","(101.0, 260.0, 220.0)","(3.3, 3.8, 3.7331877729257643)","(31.0, 48.0, 44.18181818181818)","(2.6, 3.0, 2.944505119453925)","(3.8, 4.5, 4.41)","(6.5, 7.8, 7.4515463917525775)","(101.0, 200.0, 185.0)"
14-12-2022 14:27:21.505898,"(101.0, 300.0, 256.6666666666667)","(101.0, 250.0, 216.66666666666666)","(3.3, 3.8, 3.716447368421053)","(31.0, 46.0, 43.77777777777778)","(2.6, 3.0, 2.94289156626506)","(3.8, 4.5, 4.41123595505618)","(6.5, 7.8, 7.476555023923445)","(101.0, 200.0, 185.0)"
14-12-2022 14:27:22.983826,"(101.0, 320.0, 270.0)","(101.0, 250.0, 216.66666666666666)","(3.3, 3.8, 3.716447368421053)","(31.0, 46.0, 43.77777777777778)","(2.6, 3.0, 2.9436501901140684)","(3.8, 4.5, 4.41123595505618)","(6.5, 7.8, 7.482474226804124)","(101.0, 200.0, 185.0)"
14-12-2022 14:27:24.455607,"(101.0, 310.0, 270.0)","(101.0, 250.0, 222.5)","(3.3, 3.8, 3.716393442622951)","(31.0, 46.0, 43.77777777777778)","(2.6, 3.0, 2.943232323232323)","(3.8, 4.5, 4.41)","(6.5, 7.8, 7.482474226804124)","(101.0, 200.0, 185.0)"
14-12-2022 14:27:25.816175,"(101.0, 320.0, 270.0)","(101.0, 290.0, 223.33333333333334)","(3.3, 3.8, 3.5881818181818184)","(31.0, 46.0, 44.70967741935484)","(2.6, 3.0, 3.01990171990172)","(3.8, 4.5, 4.407692307692308)","(6.5, 7.8, 7.472549019607843)","(101.0, 200.0, 192.5)"
14-12-2022 14:27:27.447036,"(101.0, 320.0, 263.3333333333333)","(101.0, 270.0, 223.33333333333334)","(3.3, 3.6, 3.6430232558139535)","(31.0, 46.0, 44.18181818181818)","(2.6, 3.1, 3.0130666666666666)","(3.8, 4.5, 4.407692307692308)","(6.5, 7.8, 7.448421052631579)","(101.0, 200.0, 192.94117647058823)"
14-12-2022 14:27:28.876483,"(101.0, 380.0, 263.3333333333333)","(101.0, 270.0, 223.33333333333334)","(3.3, 3.65, 3.6584507042253525)","(31.0, 46.0, 43.64705882352941)","(2.6, 3.1, 3.0079872204472844)","(3.8, 4.5, 4.405263157894737)","(6.5, 7.8, 7.448421052631579)","(101.0, 200.0, 192.94117647058823)"
14-12-2022 14:27:30.262796,"(101.0, 360.0, 305.7142857142857)","(101.0, 270.0, 223.33333333333334)","(3.3, 3.7, 3.6611650485436895)","(31.0, 46.0, 43.64705882352941)","(2.6, 3.1, 3.0089605734767026)","(3.8, 4.5, 4.405263157894737)","(6.5, 7.8, 7.507017543859649)","(101.0, 200.0, 192.94117647058823)"
14-12-2022 14:27:31.562284,"(101.0, 360.0, 312.5)","(101.0, 270.0, 223.33333333333334)","(3.2, 3.7, 3.6611650485436895)","(31.0, 46.0, 43.64705882352941)","(2.6, 3.1, 3.0089605734767026)","(3.9, 4.5, 4.405263157894737)","(6.5, 7.8, 7.507017543859649)","(101.0, 200.0, 192.94117647058823)"
14-12-2022 14:27:32.866978,"(101.0, 340.0, 297.5)","(101.0, 270.0, 223.33333333333334)","(3.2, 3.7, 3.6817733990147783)","(31.0, 46.0, 43.64705882352941)","(2.6, 3.1, 3.020376175548589)","(3.9, 4.4, 4.351229508196721)","(6.5, 7.4, 7.277777777777778)","(101.0, 200.0, 192.94117647058823)"
14-12-2022 14:27:34.136121,"(101.0, 340.0, 302.5)","(101.0, 270.0, 223.33333333333334)","(3.2, 3.7, 3.6758169934640526)","(31.0, 46.0, 44.064516129032256)","(2.6, 3.1, 3.020376175548589)","(3.9, 4.4, 4.351229508196721)","(6.5, 7.4, 7.277777777777778)","(101.0, 200.0, 192.94117647058823)"
14-12-2022 14:27:35.505622,"(101.0, 340.0, 295.0)","(101.0, 270.0, 223.33333333333334)","(3.2, 3.7, 3.6589743589743593)","(31.0, 46.0, 43.9375)","(2.6, 3.1, 3.0158940397350995)","(3.9, 4.4, 4.339593908629442)","(6.5, 7.4, 7.272258064516129)","(101.0, 200.0, 193.33333333333334)"
14-12-2022 14:27:36.824533,"(101.0, 330.0, 243.33333333333334)","(101.0, 270.0, 246.66666666666666)","(3.2, 3.7, 3.6361702127659576)","(31.0, 46.0, 43.142857142857146)","(2.6, 3.1, 3.009608540925267)","(3.9, 4.4, 4.341935483870968)","(6.5, 7.4, 7.2751677852349)","(101.0, 200.0, 196.47058823529412)"
14-12-2022 14:27:38.148932,"(101.0, 320.0, 260.0)","(101.0, 270.0, 268.3333333333333)","(3.2, 3.7, 3.6361702127659576)","(31.0, 46.0, 44.064516129032256)","(2.6, 3.1, 3.006788990825688)","(3.9, 4.4, 4.341935483870968)","(6.5, 7.4, 7.280769230769231)","(101.0, 200.0, 196.47058823529412)"
14-12-2022 14:27:39.532638,"(101.0, 310.0, 236.66666666666666)","(101.0, 280.0, 268.3333333333333)","(3.2, 3.7, 3.675)","(31.0, 46.0, 41.6)","(2.6, 3.1, 3.00248)","(3.9, 4.4, 4.364661654135338)","(6.5, 7.4, 7.291666666666667)","(101.0, 200.0, 196.47058823529412)"
14-12-2022 14:27:40.840068,"(101.0, 330.0, 232.5)","(101.0, 280.0, 253.75)","(3.2, 3.75, 3.6662162162162164)","(31.0, 44.0, 42.285714285714285)","(2.6, 3.05, 3.0186451612903227)","(3.9, 4.5, 4.386792452830188)","(6.5, 7.4, 7.2924137931034485)","(101.0, 200.0, 187.27272727272728)"
14-12-2022 14:27:42.153609,"(101.0, 320.0, 260.0)","(101.0, 280.0, 260.0)","(3.2, 3.7, 3.6773480662983427)","(31.0, 44.0, 45.186440677966104)","(2.6, 3.05, 3.0436283185840707)","(3.9, 4.5, 4.3427860696517415)","(6.5, 7.4, 7.735922330097087)","(101.0, 210.0, 189.16666666666666)"
14-12-2022 14:27:43.366743,"(101.0, 380.0, 332.5)","(101.0, 280.0, 260.0)","(3.2, 3.7, 3.6773480662983427)","(31.0, 46.0, 45.186440677966104)","(2.6, 3.05, 3.045384615384615)","(3.9, 4.5, 4.338565022421524)","(6.5, 7.8, 7.786666666666666)","(101.0, 210.0, 176.66666666666666)"
14-12-2022 14:27:44.556080,"(101.0, 370.0, 316.0)","(101.0, 270.0, 260.0)","(3.2, 3.7, 3.7192105263157895)","(31.0, 46.0, 41.84313725490196)","(2.6, 3.05, 3.0437499999999997)","(3.9, 4.5, 4.3605633802816905)","(6.5, 7.8, 7.780645161290322)","(101.0, 210.0, 191.8181818181818)"
14-12-2022 14:27:45.748646,"(101.0, 370.0, 310.0)","(101.0, 270.0, 260.0)","(3.2, 3.75, 3.7192105263157895)","(31.0, 42.0, 41.84313725490196)","(2.6, 3.05, 3.0404109589041095)","(3.9, 4.4, 4.363157894736842)","(6.5, 7.8, 7.743307086614173)","(101.0, 210.0, 178.0)"
14-12-2022 14:27:46.935516,"(101.0, 350.0, 250.0)","(101.0, 270.0, 260.0)","(3.2, 3.75, 3.7227906976744185)","(31.0, 42.0, 44.0)","(2.6, 3.05, 3.0033333333333334)","(3.9, 4.4, 4.3605633802816905)","(6.5, 7.8, 7.729411764705882)","(101.0, 210.0, 191.8181818181818)"
14-12-2022 14:27:48.115256,"(101.0, 350.0, 250.0)","(101.0, 270.0, 260.0)","(3.2, 3.75, 3.7192105263157895)","(31.0, 46.0, 44.0)","(2.6, 3.05, 2.9805)","(3.9, 4.4, 4.3605633802816905)","(6.5, 7.8, 7.4363636363636365)","(101.0, 210.0, 191.8181818181818)"
14-12-2022 14:27:49.194341,"(101.0, 330.0, 226.0)","(101.0, 270.0, 260.0)","(3.2, 3.75, 3.718716577540107)","(31.0, 46.0, 44.0)","(2.6, 3.05, 2.9803070175438595)","(3.9, 4.4, 4.3605633802816905)","(6.5, 7.8, 7.56793893129771)","(101.0, 210.0, 191.8181818181818)"
14-12-2022 14:27:50.297081,"(101.0, 330.0, 226.0)","(101.0, 270.0, 245.0)","(3.2, 3.75, 3.7180851063829787)","(31.0, 44.0, 42.857142857142854)","(2.6, 3.05, 3.0082720588235294)","(3.9, 4.4, 4.3605633802816905)","(6.5, 7.8, 7.56793893129771)","(101.0, 210.0, 191.8181818181818)"
