,Six Pack Nugget,Denarau Delight,Homebush Tessa,Lonely Toni,Goldstar Harper,Champagne,Bahama Mama,Homebush Cardi
16-12-2022 09:51:45.089649,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.5, 3.5769230769230766)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:46.848923,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.5, 3.5769230769230766)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:48.125304,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.5, 3.5769230769230766)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:49.150659,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.5, 3.5769230769230766)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:50.149831,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.5, 4.011764705882353)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:51.163792,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.4, 4.029411764705882)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:52.234205,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.4, 4.029411764705882)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:53.287298,"(3.5, 5.6, 4.279999999999999)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.4, 4.029411764705882)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:54.322193,"(3.5, 5.6, 4.7749999999999995)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.4, 4.029411764705882)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:55.413890,"(3.5, 5.6, 4.7749999999999995)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.4, 4.029411764705882)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:56.508888,"(3.5, 5.6, 4.7749999999999995)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.65)","(3.4, 4.4, 3.875)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:57.532734,"(3.5, 5.6, 4.7749999999999995)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.4, 6.930769230769231)","(3.4, 4.4, 3.875)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:58.526578,"(3.5, 5.6, 4.7749999999999995)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.2, 6.930769230769231)","(3.4, 4.4, 3.875)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:51:59.556467,"(3.5, 5.6, 4.7749999999999995)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.0, 6.807692307692308)","(3.4, 4.4, 3.875)","(5.5, 12.0, 9.766666666666666)","(14.0, 75.0, 24.166666666666664)"
16-12-2022 09:52:00.563290,"(3.5, 5.6, 4.7749999999999995)","(6.0, 10.0, 8.5)","(19.0, 140.0, 84.54545454545455)","(15.0, 34.0, 31.588235294117645)","(5.0, 8.0, 6.807692307692308)","(3.4, 4.4, 3.875)","(5.5, 12.0, 10.9)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:01.572447,"(3.5, 5.6, 4.952941176470588)","(6.0, 10.0, 8.65)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 27.5)","(5.0, 8.0, 6.6521739130434785)","(3.4, 4.4, 3.875)","(5.5, 12.5, 10.9)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:02.558207,"(3.5, 5.6, 4.952941176470588)","(6.0, 10.0, 8.65)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 27.5)","(5.0, 8.0, 6.6521739130434785)","(3.4, 4.4, 3.875)","(5.5, 12.5, 10.9)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:03.600375,"(3.5, 5.6, 5.355555555555555)","(6.0, 10.0, 8.65)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 29.42857142857143)","(5.0, 8.0, 6.6521739130434785)","(3.4, 4.4, 3.875)","(5.5, 12.5, 10.9)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:04.677992,"(3.5, 5.7, 5.180645161290323)","(6.0, 10.0, 7.8)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 29.42857142857143)","(5.0, 8.0, 6.6521739130434785)","(3.4, 4.4, 3.875)","(5.5, 12.5, 10.9)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:05.714814,"(3.5, 5.7, 4.4884615384615385)","(6.0, 10.0, 7.8)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 29.42857142857143)","(5.0, 8.0, 6.6521739130434785)","(3.4, 4.4, 3.875)","(5.5, 12.5, 10.9)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:06.776627,"(3.5, 5.7, 4.125)","(6.0, 10.0, 7.8)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 29.42857142857143)","(5.0, 8.0, 6.6521739130434785)","(3.4, 4.4, 3.875)","(5.5, 12.5, 10.9)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:07.770730,"(3.5, 5.7, 5.2)","(6.0, 10.0, 7.8)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 29.42857142857143)","(5.0, 8.0, 6.6521739130434785)","(3.4, 4.4, 3.875)","(5.5, 12.5, 10.9)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:08.803979,"(3.5, 5.7, 5.2)","(6.0, 10.0, 7.8)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 29.42857142857143)","(5.0, 8.0, 6.6521739130434785)","(3.4, 4.4, 3.875)","(5.5, 12.5, 10.9)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:09.782753,"(3.5, 5.7, 5.2)","(6.0, 10.0, 7.8)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 29.42857142857143)","(5.0, 8.0, 6.6521739130434785)","(3.4, 4.4, 3.6300000000000003)","(5.5, 12.5, 11.54)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:10.771729,"(3.5, 6.6, 5.454545454545455)","(6.0, 10.0, 7.8)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 29.42857142857143)","(5.0, 8.0, 6.6521739130434785)","(3.4, 4.4, 3.875)","(5.5, 12.5, 11.54)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:11.753905,"(3.5, 6.6, 5.454545454545455)","(6.0, 10.0, 7.8)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 29.42857142857143)","(5.0, 8.0, 6.6521739130434785)","(3.4, 4.4, 3.875)","(5.5, 12.5, 11.54)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:12.737446,"(3.5, 6.6, 5.454545454545455)","(6.0, 10.0, 7.8)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 29.42857142857143)","(5.0, 8.0, 6.6521739130434785)","(3.4, 4.4, 3.875)","(5.5, 12.5, 11.54)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:13.710544,"(3.5, 6.6, 5.8999999999999995)","(6.0, 10.0, 7.8)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 29.42857142857143)","(5.0, 8.0, 6.6521739130434785)","(3.4, 4.4, 3.875)","(5.5, 12.5, 11.54)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:14.717923,"(3.5, 6.6, 5.8999999999999995)","(6.0, 10.0, 7.8)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 29.42857142857143)","(5.0, 8.0, 6.6521739130434785)","(3.4, 4.4, 3.875)","(5.5, 12.5, 11.54)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:15.737902,"(3.5, 6.6, 5.8999999999999995)","(6.0, 10.0, 7.8)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 29.42857142857143)","(5.0, 8.0, 6.747368421052632)","(3.4, 4.4, 3.875)","(5.5, 12.5, 11.54)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:16.704006,"(3.5, 6.6, 5.454545454545455)","(6.0, 10.0, 7.8)","(19.0, 140.0, 65.23076923076923)","(15.0, 32.0, 29.42857142857143)","(5.0, 7.6, 6.747368421052632)","(3.4, 4.4, 3.875)","(5.5, 12.5, 11.54)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:17.679561,"(3.5, 6.6, 5.319565217391304)","(6.0, 9.8, 8.936842105263159)","(19.0, 140.0, 59.333333333333336)","(15.0, 32.0, 27.625)","(5.0, 7.6, 6.337142857142857)","(3.4, 4.3, 4.031578947368421)","(5.5, 12.5, 11.711111111111112)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:18.624396,"(3.5, 6.6, 5.319565217391304)","(6.0, 9.8, 8.668965517241379)","(19.0, 140.0, 59.333333333333336)","(15.0, 32.0, 27.875)","(5.0, 7.6, 6.337142857142857)","(3.4, 4.3, 4.031578947368421)","(5.5, 12.5, 11.711111111111112)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:19.592793,"(3.5, 6.6, 5.646153846153846)","(6.0, 9.8, 8.668965517241379)","(19.0, 140.0, 59.333333333333336)","(15.0, 32.0, 29.25)","(5.0, 7.6, 6.337142857142857)","(3.4, 4.3, 4.031578947368421)","(5.5, 12.5, 11.711111111111112)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:20.557369,"(3.5, 6.6, 5.646153846153846)","(6.0, 9.8, 8.668965517241379)","(19.0, 140.0, 59.333333333333336)","(15.0, 32.0, 29.25)","(5.0, 7.6, 6.337142857142857)","(3.4, 4.3, 4.031578947368421)","(5.5, 12.5, 11.711111111111112)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:21.568882,"(3.5, 6.4, 6.2)","(6.0, 9.8, 8.668965517241379)","(19.0, 140.0, 59.333333333333336)","(15.0, 32.0, 29.25)","(5.0, 7.4, 7.16)","(3.4, 4.3, 4.031578947368421)","(5.5, 12.5, 9.66)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:22.581872,"(3.5, 6.4, 5.408695652173913)","(6.0, 9.8, 7.457142857142857)","(19.0, 140.0, 59.333333333333336)","(15.0, 32.0, 29.25)","(5.0, 7.4, 6.888888888888889)","(3.4, 4.3, 4.031578947368421)","(5.5, 12.5, 11.120000000000001)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:23.598159,"(3.5, 6.0, 5.711764705882353)","(6.0, 9.8, 8.345454545454546)","(19.0, 140.0, 59.333333333333336)","(15.0, 32.0, 28.9)","(5.0, 7.4, 6.888888888888889)","(3.4, 4.3, 4.031578947368421)","(5.5, 12.5, 11.688235294117646)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:24.577349,"(3.5, 5.9, 5.623529411764706)","(6.0, 9.8, 6.963636363636364)","(19.0, 140.0, 52.36363636363637)","(15.0, 32.0, 28.9)","(5.0, 7.4, 6.888888888888889)","(3.4, 4.3, 4.031578947368421)","(5.5, 12.5, 11.688235294117646)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:25.544336,"(3.5, 5.9, 5.623529411764706)","(6.0, 9.8, 8.073684210526316)","(19.0, 140.0, 60.0)","(15.0, 32.0, 28.9)","(5.0, 7.4, 6.888888888888889)","(3.4, 4.3, 4.031578947368421)","(5.5, 12.5, 11.688235294117646)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:26.505079,"(3.5, 6.0, 5.711764705882353)","(6.0, 9.8, 8.073684210526316)","(19.0, 140.0, 60.0)","(15.0, 32.0, 28.9)","(5.0, 7.4, 7.0)","(3.4, 4.3, 4.0875)","(5.5, 12.5, 11.688235294117646)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:27.503136,"(3.5, 6.4, 5.585714285714285)","(6.0, 9.8, 8.073684210526316)","(19.0, 140.0, 60.0)","(15.0, 32.0, 28.9)","(5.0, 7.4, 7.0)","(3.4, 4.3, 4.0875)","(5.5, 12.5, 11.688235294117646)","(14.0, 75.0, 31.428571428571427)"
16-12-2022 09:52:28.514958,"(3.5, 6.2, 4.9206896551724135)","(6.0, 9.8, 8.073684210526316)","(19.0, 140.0, 88.57142857142857)","(15.0, 32.0, 28.9)","(5.0, 7.4, 6.35)","(3.4, 4.3, 3.8363636363636364)","(5.5, 12.0, 10.933333333333334)","(14.0, 75.0, 37.1875)"
16-12-2022 09:52:29.568539,"(3.5, 6.0, 4.628571428571428)","(6.0, 9.8, 8.073684210526316)","(19.0, 130.0, 56.666666666666664)","(15.0, 32.0, 28.9)","(5.0, 7.4, 6.933333333333334)","(3.4, 4.3, 3.8363636363636364)","(5.5, 12.0, 10.17142857142857)","(14.0, 75.0, 37.5)"
16-12-2022 09:52:30.643565,"(3.5, 5.8, 5.121052631578947)","(6.0, 9.8, 8.073684210526316)","(19.0, 130.0, 71.33333333333333)","(15.0, 32.0, 28.9)","(5.0, 7.4, 6.538461538461538)","(3.4, 4.3, 3.8363636363636364)","(5.5, 12.0, 10.805882352941177)","(14.0, 75.0, 37.8125)"
16-12-2022 09:52:31.633198,"(3.5, 5.7, 5.426666666666667)","(6.0, 9.8, 8.073684210526316)","(19.0, 130.0, 71.33333333333333)","(15.0, 32.0, 28.9)","(5.0, 7.6, 6.933333333333334)","(3.4, 4.3, 3.8363636363636364)","(5.5, 11.5, 10.775)","(14.0, 75.0, 32.85714285714286)"
16-12-2022 09:52:32.698196,"(3.5, 6.0, 5.447058823529412)","(6.0, 9.4, 8.413333333333334)","(19.0, 130.0, 71.33333333333333)","(15.0, 32.0, 28.9)","(5.0, 7.4, 6.538461538461538)","(3.4, 4.3, 3.8363636363636364)","(5.5, 12.5, 10.17142857142857)","(14.0, 75.0, 45.5)"
16-12-2022 09:52:33.689671,"(3.5, 5.9, 5.6)","(6.0, 9.4, 8.413333333333334)","(19.0, 130.0, 71.33333333333333)","(15.0, 32.0, 28.9)","(5.0, 7.6, 6.538461538461538)","(3.4, 4.3, 3.8363636363636364)","(5.5, 12.0, 10.933333333333334)","(14.0, 75.0, 45.5)"
16-12-2022 09:52:34.702919,"(3.5, 5.9, 5.6)","(6.0, 9.4, 8.413333333333334)","(19.0, 130.0, 71.33333333333333)","(15.0, 32.0, 28.9)","(5.0, 7.6, 6.538461538461538)","(3.4, 4.3, 3.8363636363636364)","(5.5, 12.0, 10.933333333333334)","(14.0, 75.0, 45.5)"
16-12-2022 09:52:35.779246,"(3.5, 6.6, 5.616666666666666)","(6.0, 9.4, 8.413333333333334)","(19.0, 130.0, 71.33333333333333)","(15.0, 32.0, 28.9)","(5.0, 7.6, 6.538461538461538)","(3.4, 4.3, 3.8363636363636364)","(5.5, 11.5, 9.600000000000001)","(14.0, 75.0, 45.5)"
16-12-2022 09:52:36.880142,"(3.5, 5.9, 4.038461538461538)","(6.0, 9.4, 8.413333333333334)","(19.0, 130.0, 83.6842105263158)","(15.0, 32.0, 28.9)","(5.0, 7.6, 6.538461538461538)","(3.4, 4.3, 3.8363636363636364)","(5.5, 11.5, 9.600000000000001)","(14.0, 75.0, 45.5)"
16-12-2022 09:52:37.957695,"(3.5, 5.9, 5.233333333333333)","(6.0, 9.4, 8.413333333333334)","(19.0, 130.0, 83.6842105263158)","(15.0, 32.0, 28.25)","(5.0, 7.6, 6.55)","(3.4, 4.3, 3.8607142857142858)","(5.5, 11.5, 9.600000000000001)","(14.0, 75.0, 45.5)"
16-12-2022 09:52:38.985987,"(3.5, 5.9, 4.2214285714285715)","(6.0, 9.4, 8.413333333333334)","(19.0, 130.0, 83.6842105263158)","(15.0, 32.0, 29.0)","(5.0, 7.8, 6.55)","(3.4, 4.6, 4.2)","(5.5, 11.5, 9.600000000000001)","(14.0, 75.0, 45.5)"
16-12-2022 09:52:40.020719,"(3.5, 5.9, 5.247222222222223)","(6.0, 9.4, 7.123076923076923)","(19.0, 130.0, 83.6842105263158)","(15.0, 32.0, 29.1)","(5.0, 7.8, 6.878947368421052)","(3.4, 4.5, 4.2)","(5.5, 11.5, 7.16)","(14.0, 75.0, 45.5)"
16-12-2022 09:52:41.019033,"(3.5, 5.9, 5.275)","(6.0, 9.4, 7.123076923076923)","(19.0, 130.0, 83.6842105263158)","(15.0, 32.0, 29.1)","(5.0, 7.8, 6.341666666666667)","(3.4, 4.5, 4.2)","(5.5, 11.5, 8.653333333333332)","(14.0, 75.0, 45.5)"
16-12-2022 09:52:42.129572,"(3.5, 5.9, 4.328571428571429)","(6.0, 9.4, 7.123076923076923)","(19.0, 130.0, 83.6842105263158)","(15.0, 32.0, 29.1)","(5.0, 7.8, 6.341666666666667)","(3.4, 4.5, 4.2)","(5.5, 11.5, 6.7)","(14.0, 75.0, 61.71428571428571)"
16-12-2022 09:52:43.205409,"(3.5, 5.9, 5.275)","(6.0, 9.4, 7.123076923076923)","(20.0, 130.0, 83.6842105263158)","(15.0, 32.0, 29.1)","(5.0, 7.8, 6.341666666666667)","(3.4, 4.5, 4.2)","(5.5, 11.5, 7.0)","(14.0, 80.0, 48.5)"
16-12-2022 09:52:44.242816,"(3.5, 5.9, 5.275)","(6.0, 9.2, 8.2)","(20.0, 130.0, 83.6842105263158)","(15.0, 32.0, 29.1)","(5.0, 7.8, 6.341666666666667)","(3.4, 4.5, 4.2)","(5.5, 11.5, 8.376470588235295)","(14.0, 80.0, 59.0)"
16-12-2022 09:52:45.265871,"(3.5, 5.9, 5.275)","(6.0, 9.4, 7.755555555555556)","(20.0, 130.0, 83.6842105263158)","(15.0, 32.0, 29.1)","(5.0, 7.8, 6.341666666666667)","(3.4, 4.5, 4.2)","(5.5, 11.5, 9.014285714285714)","(14.0, 80.0, 59.0)"
16-12-2022 09:52:46.285905,"(3.5, 5.9, 5.275)","(6.0, 9.2, 8.2)","(20.0, 130.0, 83.6842105263158)","(15.0, 32.0, 29.1)","(5.0, 7.8, 6.341666666666667)","(3.4, 4.5, 4.2)","(5.5, 11.5, 9.014285714285714)","(14.0, 80.0, 59.0)"
16-12-2022 09:52:47.345443,"(3.5, 5.9, 5.275)","(6.0, 9.2, 8.2)","(20.0, 130.0, 83.6842105263158)","(15.0, 32.0, 29.1)","(5.0, 7.8, 6.341666666666667)","(3.4, 4.5, 4.2)","(5.5, 11.5, 9.014285714285714)","(14.0, 80.0, 59.0)"
16-12-2022 09:52:48.380949,"(3.5, 5.9, 5.275)","(6.0, 9.2, 7.290909090909091)","(20.0, 130.0, 83.6842105263158)","(15.0, 32.0, 29.1)","(5.0, 7.8, 6.341666666666667)","(3.4, 4.5, 4.2)","(5.5, 11.5, 9.014285714285714)","(14.0, 80.0, 59.0)"
16-12-2022 09:52:49.416519,"(3.5, 5.9, 5.275)","(6.0, 9.2, 7.290909090909091)","(20.0, 130.0, 86.0)","(15.0, 32.0, 29.1)","(5.0, 7.8, 6.341666666666667)","(3.4, 4.5, 4.2)","(5.5, 11.5, 9.014285714285714)","(14.0, 80.0, 59.0)"
16-12-2022 09:52:50.461017,"(3.5, 5.9, 5.275)","(6.0, 9.2, 7.290909090909091)","(20.0, 130.0, 86.0)","(15.0, 32.0, 30.549999999999997)","(5.0, 7.8, 6.341666666666667)","(3.4, 4.5, 4.2)","(5.5, 11.5, 9.014285714285714)","(14.0, 80.0, 59.0)"
16-12-2022 09:52:51.542837,"(3.5, 5.7, 4.14)","(6.0, 9.2, 7.290909090909091)","(20.0, 130.0, 63.53846153846154)","(15.0, 32.0, 30.549999999999997)","(5.0, 7.8, 6.341666666666667)","(3.4, 4.5, 4.2)","(5.5, 11.5, 8.6)","(14.0, 80.0, 59.0)"
16-12-2022 09:52:52.835687,"(3.5, 5.7, 4.628571428571429)","(6.0, 9.2, 7.290909090909091)","(20.0, 130.0, 51.45454545454545)","(15.0, 32.0, 30.549999999999997)","(5.0, 7.8, 6.341666666666667)","(3.4, 4.5, 4.2)","(5.5, 11.5, 8.6)","(14.0, 80.0, 59.0)"
16-12-2022 09:52:53.937034,"(3.5, 5.6, 5.346666666666666)","(6.0, 9.2, 7.290909090909091)","(20.0, 130.0, 51.45454545454545)","(15.0, 32.0, 30.549999999999997)","(5.0, 7.8, 6.341666666666667)","(3.4, 4.5, 4.2)","(5.5, 11.5, 8.6)","(14.0, 80.0, 49.0)"
