,Rubys And Pearls,Latrell Bar Cool,Identity Thief,Cosmic Tom Tom,Maywyns Nifty,Sirius Kyle,Sirius Keith,Magic Madness
16-12-2022 14:47:32.215283,"(4.2, 5.0, 4.85)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.4, 6.985714285714286)","(6.5, 11.0, 9.7)","(5.5, 7.8, 6.666666666666667)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:33.355042,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.4, 7.3478260869565215)","(6.5, 11.0, 9.7)","(5.5, 7.6, 6.666666666666667)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:34.421129,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.4, 7.025)","(6.5, 11.0, 9.7)","(5.5, 7.6, 6.666666666666667)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.375)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:35.508408,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.4, 7.025)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.6, 6.666666666666667)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.5)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:36.651742,"(4.2, 5.2, 4.616666666666667)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.4, 7.025)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.6, 6.666666666666667)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.5)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:37.650714,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 6.942857142857142)","(6.5, 11.0, 9.7)","(5.5, 7.8, 6.536842105263158)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.5)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:38.643947,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 6.825)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.8, 6.536842105263158)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:39.780827,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 6.9625)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.8, 6.536842105263158)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:40.884958,"(4.2, 5.1, 4.585714285714285)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 6.9625)","(6.5, 10.5, 9.733333333333333)","(5.5, 7.6, 6.76)","(6.5, 15.0, 14.75)","(6.5, 16.0, 15.272727272727273)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:41.989461,"(4.2, 5.1, 4.585714285714285)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 6.9625)","(6.5, 10.5, 9.733333333333333)","(5.5, 7.6, 6.76)","(6.5, 15.0, 14.75)","(6.5, 16.0, 15.272727272727273)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:43.150607,"(4.2, 5.1, 4.827272727272727)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.0, 7.65)","(6.5, 11.0, 9.7)","(5.5, 7.6, 6.76)","(6.5, 15.0, 14.75)","(6.5, 16.0, 15.272727272727273)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:44.215794,"(4.2, 5.1, 4.827272727272727)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 7.2375)","(6.5, 11.0, 9.7)","(5.5, 7.6, 6.76)","(6.5, 15.0, 14.75)","(6.5, 16.0, 15.272727272727273)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:45.321915,"(4.2, 5.1, 4.827272727272727)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 7.5)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.6, 6.76)","(6.5, 15.0, 14.75)","(6.5, 16.0, 15.272727272727273)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:46.456487,"(4.2, 5.2, 4.616666666666667)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 7.5)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.8, 6.536842105263158)","(6.5, 15.0, 14.4375)","(6.5, 16.0, 15.272727272727273)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:47.523549,"(4.2, 5.2, 4.616666666666667)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 7.449999999999999)","(6.5, 11.0, 9.7)","(5.5, 7.8, 6.536842105263158)","(6.5, 15.0, 14.4375)","(6.5, 16.0, 15.272727272727273)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:48.634925,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 6.533333333333333)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.8, 6.536842105263158)","(6.5, 15.0, 14.4375)","(6.5, 16.0, 15.272727272727273)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:49.762665,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 6.533333333333333)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.8, 6.536842105263158)","(6.5, 15.0, 14.4375)","(6.5, 16.0, 15.272727272727273)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:50.911614,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 7.3)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.8, 6.536842105263158)","(6.5, 15.0, 14.4375)","(6.5, 16.0, 14.666666666666666)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:52.144010,"(4.2, 5.2, 4.616666666666667)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 7.3)","(6.5, 11.0, 9.7)","(5.5, 7.8, 6.536842105263158)","(6.5, 15.0, 14.4375)","(6.5, 16.0, 14.666666666666666)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:53.275542,"(4.2, 5.2, 4.616666666666667)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 7.199999999999999)","(6.5, 11.0, 9.7)","(5.5, 7.8, 6.536842105263158)","(6.5, 15.0, 14.4375)","(6.5, 16.0, 14.666666666666666)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:54.341023,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 7.199999999999999)","(6.5, 11.0, 9.7)","(5.5, 7.8, 6.536842105263158)","(6.5, 15.0, 14.4375)","(6.5, 16.0, 14.666666666666666)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:55.426630,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 7.199999999999999)","(6.5, 11.0, 9.7)","(5.5, 7.8, 6.536842105263158)","(6.5, 15.0, 14.4375)","(6.5, 16.0, 14.666666666666666)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:56.551878,"(4.2, 5.1, 4.827272727272727)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 7.3)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.6, 6.76)","(6.5, 15.0, 14.764705882352942)","(6.5, 16.0, 15.5625)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:57.674689,"(4.2, 5.1, 4.585714285714285)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 7.199999999999999)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.6, 6.76)","(6.5, 15.0, 14.764705882352942)","(6.5, 16.0, 15.5625)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:58.837678,"(4.2, 5.1, 4.585714285714285)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.0, 6.949999999999999)","(6.5, 11.0, 9.7)","(5.5, 7.6, 6.76)","(6.5, 15.0, 14.764705882352942)","(6.5, 16.0, 15.5625)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:59.916150,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.0, 6.800000000000001)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.8, 9.475862068965517)","(6.5, 15.0, 14.428571428571429)","(6.5, 16.0, 15.5625)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:01.028168,"(4.2, 5.2, 4.9)","(3.5, 5.7, 5.016666666666667)","(6.0, 8.0, 6.9714285714285715)","(6.5, 11.0, 10.066666666666666)","(5.5, 9.6, 9.475862068965517)","(6.5, 15.0, 14.428571428571429)","(6.5, 16.0, 15.5625)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:02.130992,"(4.2, 5.2, 4.9)","(3.5, 5.7, 5.016666666666667)","(6.0, 8.0, 6.9714285714285715)","(6.5, 11.0, 10.066666666666666)","(5.5, 9.6, 9.51875)","(6.5, 15.0, 14.428571428571429)","(6.5, 16.0, 15.5625)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:03.204422,"(4.2, 5.2, 4.616666666666667)","(3.5, 5.9, 5.65)","(6.0, 8.0, 6.9714285714285715)","(6.5, 11.0, 10.066666666666666)","(5.5, 9.8, 9.51875)","(6.5, 15.0, 14.428571428571429)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:04.392731,"(4.2, 5.2, 4.9)","(3.5, 5.9, 5.225)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 9.8, 9.51875)","(6.5, 15.0, 14.428571428571429)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:05.542380,"(4.2, 5.2, 4.9)","(3.5, 5.9, 5.225)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 9.8, 9.51875)","(6.5, 15.0, 14.428571428571429)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:06.652422,"(4.2, 5.2, 4.9)","(3.5, 5.9, 5.225)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 9.8, 9.51875)","(6.5, 15.0, 14.428571428571429)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:07.758099,"(4.2, 5.2, 4.616666666666667)","(3.5, 5.8, 5.53125)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 9.8, 9.08)","(6.5, 15.0, 14.428571428571429)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:08.820890,"(4.2, 5.2, 4.969230769230769)","(3.5, 5.5, 4.729166666666666)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 9.8, 9.053333333333333)","(6.5, 15.0, 14.428571428571429)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:09.836796,"(4.2, 5.1, 4.827272727272727)","(3.5, 5.3, 4.7)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 9.8, 9.046153846153846)","(6.5, 15.0, 14.78125)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:10.918366,"(4.2, 5.1, 4.827272727272727)","(3.5, 5.5, 4.827272727272727)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 9.8, 9.046153846153846)","(6.5, 15.0, 14.78125)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:11.976058,"(4.2, 5.1, 4.827272727272727)","(3.5, 5.5, 4.827272727272727)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 9.8, 9.046153846153846)","(6.5, 15.0, 14.78125)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:13.156376,"(4.2, 5.1, 4.585714285714285)","(3.5, 5.5, 5.26875)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 9.8, 9.046153846153846)","(6.5, 15.0, 14.78125)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:14.222883,"(4.2, 5.1, 4.585714285714285)","(3.5, 5.5, 5.26875)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 9.8, 9.046153846153846)","(6.5, 15.0, 14.78125)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:15.296397,"(4.2, 5.1, 4.585714285714285)","(3.5, 5.5, 5.26875)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 9.8, 9.046153846153846)","(6.5, 15.0, 14.78125)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:16.283505,"(4.2, 5.1, 4.827272727272727)","(3.5, 5.3, 4.7)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 10.0, 9.2)","(6.5, 15.0, 14.78125)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:17.356082,"(4.2, 5.1, 4.827272727272727)","(3.5, 5.5, 5.26875)","(6.0, 8.0, 6.65)","(6.5, 11.0, 10.066666666666666)","(5.5, 10.0, 9.2)","(6.5, 15.0, 14.78125)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:18.514028,"(4.2, 5.1, 4.827272727272727)","(3.5, 5.5, 5.26875)","(6.0, 8.0, 7.325)","(6.5, 11.0, 10.066666666666666)","(5.5, 10.0, 9.2)","(6.5, 15.0, 14.78125)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:19.783477,"(4.2, 5.1, 4.585714285714285)","(3.5, 5.5, 5.26875)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 10.0, 9.2)","(6.5, 15.0, 14.78125)","(7.0, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:20.895811,"(4.2, 5.1, 4.585714285714285)","(3.5, 5.5, 5.26875)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 10.0, 9.2)","(6.5, 15.0, 14.78125)","(7.0, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:21.925603,"(4.2, 5.0, 4.733333333333333)","(3.5, 5.2, 4.636363636363637)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 10.0, 9.2)","(6.5, 15.0, 14.8)","(7.0, 16.0, 15.625)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:22.999691,"(4.2, 5.0, 4.733333333333333)","(3.5, 5.3, 5.09375)","(6.0, 8.0, 6.65)","(6.5, 11.0, 10.066666666666666)","(5.5, 10.0, 9.2)","(6.5, 15.0, 14.8)","(7.0, 16.0, 15.625)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:24.053735,"(4.2, 5.0, 4.733333333333333)","(3.5, 5.2, 4.636363636363637)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 10.0, 9.2)","(6.5, 15.0, 14.8)","(7.0, 16.0, 15.625)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:25.122226,"(4.2, 5.0, 4.181818181818182)","(3.5, 5.8, 5.53125)","(6.0, 8.0, 7.4)","(6.5, 11.0, 10.066666666666666)","(5.5, 10.0, 9.2)","(6.5, 15.0, 14.8)","(7.0, 16.0, 15.625)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:26.265583,"(4.2, 5.0, 4.466666666666667)","(3.5, 5.8, 5.018181818181818)","(6.0, 8.0, 7.4)","(6.5, 11.5, 10.4)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.75)","(7.0, 16.0, 15.545454545454545)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:27.363886,"(4.2, 5.0, 4.533333333333333)","(3.5, 5.2, 4.636363636363637)","(6.0, 8.0, 7.475)","(6.5, 11.5, 9.52)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.833333333333332)","(7.0, 16.0, 15.6875)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:28.473322,"(4.2, 5.0, 4.533333333333333)","(3.5, 5.2, 4.636363636363637)","(6.0, 8.0, 7.475)","(6.5, 11.5, 9.52)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.833333333333332)","(7.0, 16.0, 15.6875)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:29.517062,"(4.2, 5.0, 4.533333333333333)","(3.5, 5.1, 4.572727272727272)","(6.0, 8.0, 7.55)","(6.5, 11.5, 9.52)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.833333333333332)","(7.0, 16.0, 15.6875)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:30.581487,"(4.2, 5.0, 4.533333333333333)","(3.5, 5.1, 4.572727272727272)","(6.0, 8.0, 7.55)","(6.5, 11.5, 9.52)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.833333333333332)","(7.0, 16.0, 15.6875)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:31.668259,"(4.2, 5.0, 4.533333333333333)","(3.5, 5.1, 4.572727272727272)","(6.0, 8.0, 7.55)","(6.5, 11.5, 9.52)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.833333333333332)","(7.0, 16.0, 15.6875)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:32.729966,"(4.2, 5.0, 4.6000000000000005)","(3.5, 5.0, 4.509090909090909)","(6.0, 8.0, 7.55)","(6.5, 11.5, 9.52)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.833333333333332)","(7.0, 16.0, 15.6875)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:33.862845,"(4.2, 5.0, 4.6000000000000005)","(3.5, 5.1, 4.572727272727272)","(6.0, 8.0, 7.475)","(6.5, 11.5, 9.52)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.833333333333332)","(7.0, 16.0, 15.6875)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:35.057566,"(4.2, 5.0, 4.875)","(3.5, 4.7, 4.2625)","(6.0, 8.0, 7.55)","(6.5, 11.5, 9.52)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.833333333333332)","(7.0, 16.0, 15.6875)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:36.200197,"(4.2, 5.0, 4.875)","(3.5, 4.7, 4.2625)","(6.0, 8.0, 7.55)","(6.5, 11.5, 9.52)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.894736842105264)","(7.0, 16.0, 15.75)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:37.273790,"(4.2, 4.9, 4.812903225806452)","(3.5, 4.6, 4.126315789473685)","(6.0, 8.0, 7.723076923076923)","(6.5, 11.5, 9.52)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.894736842105264)","(7.0, 16.0, 15.75)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:38.341408,"(4.2, 4.9, 4.812903225806452)","(3.5, 4.6, 4.027272727272727)","(6.0, 8.0, 7.55)","(6.5, 11.5, 9.52)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.894736842105264)","(7.0, 16.0, 15.75)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:39.410924,"(4.2, 4.9, 4.771428571428571)","(3.5, 4.5, 4.055555555555555)","(6.0, 8.0, 7.55)","(6.5, 11.5, 9.378571428571428)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.894736842105264)","(7.0, 16.0, 15.75)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:48:40.563468,"(4.2, 4.9, 4.771428571428571)","(3.5, 4.4, 4.167857142857143)","(6.0, 8.0, 7.625)","(6.5, 11.5, 9.378571428571428)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.894736842105264)","(7.0, 16.0, 15.75)","(31.0, 140.0, 116.8421052631579)"
16-12-2022 14:48:41.706022,"(4.2, 4.9, 4.771428571428571)","(3.5, 4.4, 4.2375)","(6.0, 8.0, 7.625)","(6.5, 11.0, 9.95)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.85)","(7.0, 16.0, 15.75)","(31.0, 140.0, 116.8421052631579)"
16-12-2022 14:48:42.860549,"(4.2, 4.9, 4.812903225806452)","(3.5, 4.5, 4.261363636363637)","(6.0, 8.0, 7.625)","(6.5, 11.0, 9.472727272727273)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.85)","(7.0, 16.0, 15.75)","(31.0, 140.0, 103.33333333333333)"
16-12-2022 14:48:44.059376,"(4.2, 4.9, 4.812903225806452)","(3.5, 4.6, 4.25)","(6.0, 8.0, 7.55)","(6.5, 11.0, 9.472727272727273)","(5.5, 10.0, 9.236363636363636)","(6.5, 15.0, 14.85)","(7.0, 16.0, 15.75)","(31.0, 140.0, 85.0)"
16-12-2022 14:48:45.298062,"(4.2, 4.9, 4.771428571428571)","(3.5, 4.6, 4.314285714285714)","(6.0, 8.0, 7.625)","(6.5, 9.4, 8.36923076923077)","(5.5, 10.0, 9.475)","(6.5, 15.0, 14.85)","(7.0, 16.0, 18.59090909090909)","(31.0, 140.0, 85.0)"
16-12-2022 14:48:46.454713,"(4.2, 4.9, 4.771428571428571)","(3.5, 4.6, 4.314285714285714)","(6.0, 8.0, 7.625)","(6.5, 9.6, 8.36923076923077)","(5.5, 10.0, 9.475)","(6.5, 15.0, 14.85)","(7.0, 19.0, 18.59090909090909)","(31.0, 140.0, 85.0)"
16-12-2022 14:48:47.682796,"(4.2, 4.9, 4.771428571428571)","(3.5, 4.6, 4.314285714285714)","(6.0, 8.0, 7.625)","(6.5, 9.6, 9.433333333333334)","(5.5, 10.0, 9.475)","(6.5, 15.0, 14.5)","(7.0, 19.0, 16.25)","(31.0, 140.0, 85.0)"
16-12-2022 14:48:48.899276,"(4.2, 4.9, 4.875)","(3.5, 4.9, 4.428571428571429)","(6.0, 8.0, 6.65)","(6.5, 9.8, 9.433333333333334)","(5.5, 10.0, 9.723076923076924)","(6.5, 15.0, 14.416666666666668)","(7.0, 19.0, 16.25)","(31.0, 140.0, 53.6)"
16-12-2022 14:48:49.977788,"(4.2, 4.9, 4.842857142857143)","(3.5, 4.9, 4.6375)","(6.0, 8.0, 7.4)","(6.5, 9.8, 9.433333333333334)","(5.5, 10.0, 9.723076923076924)","(6.5, 15.0, 14.416666666666668)","(7.0, 19.0, 16.25)","(31.0, 140.0, 53.6)"
16-12-2022 14:48:51.093745,"(4.2, 4.9, 4.842857142857143)","(3.5, 4.9, 4.6375)","(6.0, 8.0, 7.4)","(6.5, 9.8, 9.433333333333334)","(5.5, 10.0, 9.8)","(6.5, 15.0, 14.416666666666668)","(7.0, 19.0, 16.25)","(31.0, 140.0, 53.6)"
16-12-2022 14:48:52.224718,"(4.2, 4.9, 4.842857142857143)","(3.5, 4.9, 4.6375)","(6.0, 8.0, 7.4)","(6.5, 9.8, 9.433333333333334)","(5.5, 10.0, 9.8)","(6.5, 15.0, 14.416666666666668)","(7.0, 19.0, 17.954545454545453)","(31.0, 140.0, 53.6)"
